date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:16:03	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-711ce557910fcb7d;gz%22	https://investx-admin-template.multipurposethemes.com/robots.txt		(from )
09:16:03	74435/74435	---M-Z	200	added ('OK')	text/html	etag:%22122c3-670166ac-3bbb9a6b32bd6017;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html	(from )
09:16:04	4189/4189	---M-Z	200	added ('OK')	text/css	etag:%22105d-670166ac-98bd869dad846e24;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/src/css/vendors_css.css	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/src/css/vendors_css.css	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:04	52024/52024	---M-Z	200	added ('OK')	text/css	etag:%22cb38-670166ac-6f15aef0bb01e99a;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/src/css/skin_color.css	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/src/css/skin_color.css	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:06	105005/105005	---M--	200	added ('OK')	image/png	etag:%2219a2d-670166ab-b825a010b7644e81;;;%22	https://investx-admin-template.multipurposethemes.com/html/images/logo-letter.png	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/images/logo-letter.png	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:07	1038/1038	---M--	200	added ('OK')	image/png	etag:%2240e-670166ab-512e61296ee511ef;;;%22	https://investx-admin-template.multipurposethemes.com/html/images/logo-dark-text.png	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/images/logo-dark-text.png	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:07	776872/776872	---M-Z	200	added ('OK')	text/css	etag:%22bdaa8-670166ac-81ab3dba1d03f80c;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/src/css/style.css	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/src/css/style.css	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:08	1175/1175	---M--	200	added ('OK')	image/png	etag:%22497-670166ab-d124e92d8b7a7546;;;%22	https://investx-admin-template.multipurposethemes.com/html/images/logo-light-text.png	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/images/logo-light-text.png	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:09	7364/7364	---M--	200	added ('OK')	image/png	etag:%221cc4-670166aa-d298091dd424a4d7;;;%22	https://investx-admin-template.multipurposethemes.com/html/images/avatar/avatar-13.png	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/images/avatar/avatar-13.png	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:09	98000/98000	---M-Z	200	added ('OK')	text/html	etag:%2217ed0-670166ac-1051afa54aa433f1;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index2.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index2.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
